root	status	buckets	gloss
ZEn	kept	-	departure, start, journey, trek (esp. of a caravan)
Zfr	kept	-	be successful, succeed, be victorious, be triumphant; to gain a victory, conquer, vanquish, defeat, overcome, surmount, overwhelm, get the better
Zhr	kept	-	be or become visible, perceptible, distinct, manifest, clear, apparent, evident, obvious, come to light, appear, manifest itself, come into view, show
Zll	kept	-	be; to become, turn into, grow into; to continue to do s.th., go on doing s.th., persevere in doing s.th., stick to s.th., remain, persist in, e.g.
Zlm	kept	-	do wrong or evil; to wrong, treat unjustly, ill-treat, oppress, beset, harm, suppress, tyrannize, commit outrage; to act the tyrant, act tyrannically
ZmA	not_in_hanswehr	-	
Znn	kept	-	think, believe, assume, presume, suppose; to bold, think, deem, consider; to suspect
b$r	kept	-	rejoice, be delighted, be happy
b*r	kept	-	sow, disseminate
bAr	kept	-	reverent, faithful and devoted
bAs	kept	-	kiss
bDE	kept	-	amputation
bED	kept	-	part, portion; one; some, a few
bEd	kept	-	be distant, far away, far off; to keep away, keep one’s distance; to go far beyond, exceed by far
bEl	kept	-	the god Baal; land or plants thriving on natural water supply
bEr	kept	-	droppings, dung (of animals)
bEv	kept	-	send, send out, dispatah; to forward; to delegate
bEvr	kept	-	scatter, strew around, fling about; to disarrange, throw into disorder; to squander, waste, dissipate
bHr	kept	-	be startled, be bewildered (with fright)
bHv	kept	-	look, search, seek; to do research; to investigate, examine, study, explore, look into
bSl	kept	-	onion(s); bulb(s)
bSr	kept	-	look, see; to realize, understand, comprehend, grasp
bT$	kept	-	attack with violence; to bear down on, fall upon s.o.; to knock out
bTA	not_in_hanswehr	-	
bTl	kept	-	nullity; uselessness, futility. vanity; falsity, falseness, untruth
bTn	kept	-	belly, stomach, abdomen; womb; interior, inside, inner portion
bTr	kept	-	be wild, wanton, reckless; to be proud, vain; to be discontented
bdA	kept	-	begin, start; to set in, begin, start, arise, spring up, crop up
bdE	kept	-	introduce, originate, start, do for the first time, be the first to do s.th.; to devise, contrive, invent
bdl	kept	-	replace, exchange
bdn	kept	-	body, trunk, torso
bdr	kept	-	full moon
bdw	kept	-	appear, show, become evident, clear, plain or manifest, come to light; to be obvious; to seem good, acceptable, proper
bgD	kept	-	hatred, hate
bgl	kept	-	mule
bgt	kept	-	come unexpectedly, descend unawares
bgy	kept	-	seek, desire, covet, seek to attain, wish for s.th.
bhj	kept	-	magnificent, splendid, beautiful; happy, joyous; delightful
bhl	kept	-	curse
bhm	no_gloss	-	
bht	kept	-	be astonished, amazed, bewildered, startled, perplexed, flabbergasted, speechless
bjs	no_gloss	-	
bkm	kept	-	dumbness
bkr	kept	-	set out early in the morning, get up early; to come early, be early
bky	kept	-	having or giving little, sparing (e.g., of words)
blE	kept	-	swallow, swallow up; to gulp down; to put up, swallow, stomach, brook
bld	kept	-	country; town, city; place, community, village
blg	kept	-	reach, get, arrive; to come, amount, be worth; to come to s.o.’s ears
bls	not_in_hanswehr	-	
blw	kept	-	test, try, put to the test; to know from long experience; to afltict
bnn	no_gloss	-	
bny	kept	-	my little son
bqE	no_gloss	-	
bql	kept	-	sprout (plant)
bqr	kept	-	bovines, cattle
bqy	kept	-	remain, stay, continue to be; to keep up, maintain; to be left behind, be left over
brA	kept	-	create
brH	kept	-	leave, depart; with neg.: to continue to be
brS	kept	-	wall gecko (Tarentola mauritanica, zool.)
brd	kept	-	coldness, chilliness, coolness; cooling; alleviation
brhn	kept	-	proof
brj	no_gloss	-	
brk	kept	-	kneel down
brm	kept	-	be or become weary, tired, be fed up, be bored, find annoying, wearisome
brq	kept	-	lightning; flash of lightning; telegraph
brr	kept	-	reverence, piety; righteousness, probity; godliness, devoutness
brz	kept	-	come out, show, appear, come into view, emerge; to jut out, protrude, stand out, be prominent (also fig.); to surpass, excel
bsT	kept	-	spread, spread out; to level, flatten; to enlarge, expand
bsl	kept	-	be brave, fearless, intrepid
bsm	no_gloss	-	
bsq	kept	-	be high, tall, lofty, towering; to excel, surpass
bsr	kept	-	scowl, frown
bss	kept	-	cat
btk	no_gloss	-	
btl	no_gloss	-	
btr	kept	-	cutting off, severance, separation; amputation
bvv	kept	-	spread, unroll, unfold; to scatter, disperse; to disseminate, propagate, spread
bwA	not_in_hanswehr	-	
bwb	no_gloss	-	
bwl	kept	-	urine
bwr	kept	-	perish; to lie fallow, be uncultivated (land); to be futile, unsuccessful, unprofitable, lead to nothing (work)
bxE	kept	-	kill o.s. (with grief, anger, rage)
bxl	kept	-	be niggardly, be stingy, scrimp, stint, withhold
bxs	kept	-	decrease, diminish, reduce; to lessen; to disregard, neglect, fail to heed
byD	kept	-	lay eggs; to stay, settle down, be or become resident
byE	kept	-	sell
byd	kept	-	perish, die, pass away, become extinct
byn	kept	-	be or become plain, evident, come out, come to light; to be clear; to part, be separated
byt	kept	-	house, building; tent (of nomads); room
bzg	kept	-	break forth, come out; to dawn (day); to rise (sun)
dAb	kept	-	habit
dEE	kept	-	rebuff, turn down
dEw	kept	-	call; to summon, call or send for s.o.; to call up
dHD	kept	-	be invalid, void, untenable (argument); to disprove, refute, invalidate
dHr	kept	-	drive away, chase away; to dislodge, remove; to defeat
dHw	kept	-	spread out, flatten, level, unroll
dbb	kept	-	bear
dbr	kept	-	turn one’s back; to elapse, pass, go by (time)
dfA	kept	-	heating
dfE	kept	-	push; to push away, shove away, push back, drive back, repel, remove, dislodge, drive away
dfq	kept	-	pouring out, effusion
dhm	kept	-	come or descend suddenly; to surprise, take unawares, take by surprise, come unexpectedly; to enter suddenly, raid, invade
dhn	kept	-	oil; to anoint; to grease, smear
dhq	kept	-	stocks (to hold the feet of an offender by way of punishment)
dhr	kept	-	time; long time, age, epoch; lifetime
dhy	kept	-	be clever, smart, cunning, artful, wily
dkk	kept	-	make flat, level or even, to smooth, level, ram, stamp, tamp; to press down, weigh down; to beat down
dlk	kept	-	rubbing; grazing, brushing, touching, touch
dll	kept	-	show, demonstrate, point out; to lead, guide, direct, conduct, show s.o. the way; to show, indicate, mark
dlw	no_gloss	-	
dmE	kept	-	tears
dmdm	kept	-	mutter, grumble, growl, snarl
dmg	kept	-	refute, invalidate; to triumph
dmr	kept	-	perish, he ruined, he destroyed
dmw	not_in_hanswehr	-	
dnr	not_in_hanswehr	-	
dnw	kept	-	advent, approach; proximity, nearness, imminence (of an event)
drA	kept	-	reject; to avert, ward off
drhm	kept	head	dirhem, drachma; a weight
drj	kept	-	entry, entering, registering, registration, recording; a rolled or folded paper; roll, scroll
drk	no_gloss	-	
drr	kept	-	milk; achievement, accomplishment
drs	kept	-	wipe out, blot out, obliterate, efface, extinguish; to thresh; to learn, study
dry	kept	-	know; to be aware, be cognizant; to understand, comprehend
dsr	kept	-	push, shove, push off
dss	kept	-	put, get, slip, shove, thrust, insert; to bury; to instill, infuse
dsw	no_gloss	-	
dvr	kept	-	fall into oblivion, be forgotten, become obsolete, antiquated, extinct; to be blotted out, wiped out, effaced, obliterated (track by the wind)
dwl	kept	-	change periodically, take turns, alternate, rotate; to change, turn (time, fortune)
dwm	kept	-	last, continue, go on; to persevere, persist
dwn	kept	-	below, beneath, under (in rank, value, etc.); this side of, short of; before
dwr	kept	-	round (of a patrol; in sports); role, part (played by s.o. or s.th.)
dxl	kept	-	enter, go, step, walk, move, come, get; to penetrate, pierce; to take possession of s.o., befall, seize
dxn	kept	-	pearl millet, dukhn
dxr	not_in_hanswehr	-	
dyn	kept	-	debt; pecuniary obligation, liability: obligation (Isl. Law); claim (Isl. Law), financial claim
f$l	kept	-	lose courage, be or become cowardly or faint-hearted, lose heart, despair; to be disappointed; to fail, he unsuccessful
fAd	kept	-	redeemer
fAy	not_in_hanswehr	-	
fDD	kept	-	break (open), pry open, force open, undo; to break, snap; to scatter, disperse, break up, rout
fDH	kept	-	disclose or uncover s.o. faults or offenses, expose, show up, compromise, shame, disgrace, dishonor; to outshine, eclipse; to ravish, violate, rape
fDl	kept	-	surplus, overplus, excess, superfluity, overflow; leftover, remainder, remnant, rest; matter of secondary importance, subordinate matter
fDw	kept	-	be or become spacious, wide, large (space); to be empty, void, vacant
fEl	kept	-	do; to act; to perform, some activity
fH$	kept	-	monstrosity; abominableness, atrocity; obscenity, indecency
fSH	kept	-	Easter (Chr.); Pesach, Passover (Jud.)
fSl	kept	-	separate, part, divide, disjoin, divorce, cut off, detach, set apart, segregate; to separate; to isolate
fSm	kept	-	recess, niche, chamfer (in walls; arch.)
fTr	kept	-	split, cleave, break apart
fZZ	kept	-	crude, rude, coarse, blunt, gruff, impolite, uncivil, uncouth, boorish, uneducated
fdy	kept	-	redeem, ransom; to sacrifice
fhm	kept	-	understand, comprehend, realize; to note, take note, take cognizance; to hear, learn, be informed
fjj	kept	-	way, road between two mountains
fjr	kept	-	cleave, break up, dig up
fjw	kept	-	open
fkh	kept	-	gay, merry, gleeful, jolly, cheerful, sportive, fun-loving, jocular, humorous; amusing (thing)
fkk	kept	-	redemption (of a pledge); jawbone, jaw
fkr	kept	-	reflect, meditate, cogitate, ponder, muse, speculate, revolve in one’s mind, think over, contemplate, consider; to think
flH	kept	-	split, cleave; to plow, till, cultivate
flk	kept	-	celestial sphere; celestial body, star; circuit, orbit (of celestial bodies)
fln	not_in_hanswehr	-	
flq	kept	-	split, cleave, rive, sunder, tear asunder; to cause to break, dispel the shadows of night (of God)
fnd	no_gloss	-	
fnn	kept	-	branch, twig (of a tree), of a shrub
fny	kept	-	specialist(ic); expert, professional; technical
fqE	kept	-	burst, pop, explode
fqd	kept	-	fail to find; to lose; to have lost, miss
fqh	kept	-	understand, comprehend
fqr	kept	-	poverty; need, lack, want
fr$	kept	-	furnishing; furniture, household effects; mat, rug, carpet
frD	kept	-	decide, determine; to decree, order, ordain; to appoint, assign, apportion, allocate
frE	kept	-	twig, branch. bough, limb, (also coll.) branches, twigs; derivative; section, subdivision
frH	kept	-	be glad, happy, delighted, rejoice, be gay, merry, cheerful
frT	kept	-	precede; to escape inadvertently, slip; to escape, get lost
frd	kept	-	alone, single; sole, only; solitary, lone, lonely
frg	kept	-	be empty, be void; to be vacant; to be exhausted, be used up
frh	kept	-	lively, agile, nimble
frj	kept	-	opening, aperture, gap, breach; pudendum of the female, vulva
frq	kept	-	make a distinction, distinguish, differentiate, discriminate
frr	kept	-	flee, run away, run off, escape
frt	not_in_hanswehr	-	
frv	not_in_hanswehr	-	
fry	no_gloss	-	
fsH	kept	-	be or become wide, spacious, roomy
fsd	kept	-	be or become bad, rotten, decayed, putrid, be spoiled
fsq	kept	-	sinfulness, viciousness, moral depravity, dissolute life
fsr	no_gloss	-	
ftA	kept	-	not to cease, to be
ftH	kept	-	open; to turn on; to switch on, turn on
ftl	kept	-	twist together, twine, entwine, plait, throw; to spin
ftn	kept	-	turn away; to subject to temptations or trials, seduce, tempt, entice, allure, beguile
ftq	kept	-	undo the sewing, unsew, unstitch, rip, rip open, tear apart, rend, slash, slit open
ftr	kept	-	abate, subside; to become listless, become languid, languish, flag, slacken; to cool off, become tepid, become lukewarm (water)
fty	kept	-	youth, adolescent, juvenile, young man; slave; hero
fwD	no_gloss	-	
fwh	kept	-	pronounce, utter, voice, say
fwj	kept	-	group, crowd, troop, band; detachment; party
fwm	no_gloss	-	
fwq	kept	-	surpass, excel, overtop, tower; to be superior; to outweigh, outbalance
fwr	kept	-	boil, simmer, bubble; to boil over (also fig.); to effervesce, fizz
fwt	kept	-	pass away, vanish; to be over, be past; to go by s.o., pass s.o.
fwz	kept	-	success, triumph, victory; obtainment, attainment, achievement, accomplishment; escape
fxr	kept	-	glory, pride; honor; vainglorious poetry (as a literary genre)
fyA	kept	-	return; to shift from west to east (shadow)
fyD	kept	-	overflow, flow over, run over; to inundate, flood, deluge; to flow, stream, pour forth, issue, emanate
fyl	kept	-	be erroneous (view)
fzE	kept	-	be afraid, be scared, be alarmed, frightened, terrified
fzz	kept	-	jump up, start, bolt; to be or become frightened, terrified, dismayed, startled; to frighten, alarm, startle, scare away
g$w	kept	-	come
gDD	kept	-	be or become fresh, succulent, tender (esp. a plant)
gDb	kept	-	be or become angry, cross, mad, vexed, irritated, exasperated, furious, to fret; to stand up, defend
gSS	kept	-	be choked; to choke; to be overcrowded, congested, jammed, packed, crammed
gSb	kept	-	forcible, illegal seizure, extortion; usurpation, unlawful arbitrariness (Isl. Law); force, compulsion, coercion, constraint
gT$	kept	-	be or become dark (night)
gTw	kept	-	cover, cover up
gbn	kept	-	fraud, deceit, imposture, swindle; defraudation, cheating, duping; damage, wrong, prejudice
gbr	kept	-	recrudescent, reopening (wound)
gdq	kept	-	copious, abundant (water, rain)
gdr	kept	-	act treacherously, perfidiously, doublecross, deceive, betray, delude
gdw	kept	-	go (away), leave, come, do, or be, early in the morning; to run; to become, grow, turn, come to be
gfl	kept	-	careless, heedless, unmindful, inadvertent; undesignated, unmarked; without name, anonymous
gfr	kept	-	forgive, grant pardon, remit
glZ	kept	-	be or become thick, gross, coarse, crude, rude, rough, rugged; to become viscous, viscid, tough, sirupy (of a liquid, mush)
glb	kept	-	subdue, conquer, vanquish, defeat, beat, lick, get the better, be victorious, triumph, gain ascendancy, get the upperhand, achieve supremacy
glf	no_gloss	-	
gll	kept	-	insert, put, stick, enter or between; to penetrate, enter; to apply an iron collar or manacles, handcuff, shackle, fetter
glm	kept	-	excited by lu.t. seized by sensuous desire, wanton, lewd, lascivious, lustful; in heat, rutted
glq	kept	-	close, shut; to look, bolt; galiqa a (galaq)
glw	kept	-	exceed the proper bounds, be excessive, go too far, overdo, exaggerate
gly	kept	-	boil, bubble up; to ferment (alcoholic beverage)
gmD	kept	-	be hidden, be concealed, hide; to close (eye); to be obscure, dark, abstruse, recondite, difficult to comprehend
gmm	kept	-	grief, affliction, sorrow, distress, sadness, worry, anxiety
gmr	kept	-	flooding, overflowing, submersion, inundation; deluge, flood (also fig.); all-engulfing, flooding, overflowing (water)
gmz	kept	-	feel, touch, palpate; to make a sign, to signal; to beckon with one’s eyes, wink
gnm	kept	-	gain booty; to take as (war) booty, capture, gain, obtain; to pillage, plunder, sack, loot
gny	kept	-	be free from want, be rich, wealthy; not to need, be able to spare, be able to dispense, manage, be able to do, have no need, be in no need
grb	kept	-	west; occident; vehemence, violence, impetuosity, tempestuousness
grf	kept	-	ladle, spoon, scoop; to ladle from a cooking pot, and the like, (into a howl) for serving; to serve
grm	kept	-	damage, loss
grq	kept	-	plunge, dive, become immersed, immerge, become submersed, submerge, sink, founder; to go under, be drowned; to be immersed, be engrossed, be absorbed
grr	kept	-	risk, hazard, jeopardy, danger, peril
grw	kept	-	glue, fix with glue
gsl	kept	-	wash, launder; to cleanse, clean; to purge, cleanse, clear, wash
gsq	kept	-	dusk, twilight before nightfall; dark of night
gvw	not_in_hanswehr	-	
gwS	kept	-	plunge, become immersed, submerge, dive; to practice pearl-fishery
gwT	kept	-	cavity, hollow, depression
gwl	kept	-	ghoul, a desert demon appearing in ever varying shapes; demon, jinni, goblin, sprite; ogre, cannibal
gwr	kept	-	bottom; declivity, depression; depth (also fig.)
gwv	no_gloss	-	
gwy	kept	-	stray from the right way, go astray, err (in one’s actions); to misguide, mislead, lead astray, seduce, tempt, entice, lure, induce
gyD	kept	-	prematurely born fetus
gyZ	kept	-	wrath, anger, ire, exasperation, fury, rage
gyb	kept	-	absence; hidden, concealed, invisible
gyr	kept	-	other than (with dependent genit.), different from, unlike, no, not, non-, un-, in-, dis-; (prep.) gaira except, save, but
gyv	kept	-	water with rain, send rain
gzl	kept	-	spinning; spun thread, yarn
gzw	kept	-	assault, raid, incursion, inroad, invasion, attack, aggression; conquest
h$$	kept	-	be crisp (bread)
h$m	no_gloss	-	
hAt	kept	-	give me (us) ...! bring me (us) ...! let me (us) have ...!
hDm	kept	-	digestion; patience, long-suffering
hTE	no_gloss	-	
hbT	kept	-	descend, go down, come down; to fall down, drop; to settle down
hbw	kept	-	rise in the air (dust, smoke); to run away, bolt, take to sight
hdd	kept	-	razing, pulling down, wrecking; demolition, destruction
hdhd	kept	-	hoopoe (zool.)
hdm	kept	-	tear down, pull down, rue, wreck, demolish, destroy; to tear up
hdy	kept	-	lead on the right way, guide; to guide, show, direct, show the way; to lead
hjE	kept	-	sleep peacefully; to be or become calm, quiet, still; to be silenced, calm down, subside (uproar, excitement, and the like)
hjd	no_gloss	-	
hjr	kept	-	emigrate; to dissociate o.s., separate, part, secede, keep away, part company; to give up, renounce, forgo, avoid
hlE	kept	-	impatience, restlessness, uneasiness; fear, burning anxiety; alarm, dismay
hlk	kept	-	perish; to die; to be annihilated, wiped out, destroyed
hll	kept	-	fright, terror, dismay
hmd	kept	-	abate, subside, let up, calm down, die away, fade away, die down, cool off; to become smaller, shrink
hmm	kept	-	they (3rd pers. m. pl. of the pers. pron.)
hmn	not_in_hanswehr	-	
hmr	kept	-	pour out, shed
hms	kept	-	mutter(ing), mumble; whisper(ing)
hmz	kept	-	spurring, goading, prodding, urging, pressing; beating, striking, kicking; backbiting, slander
hnA	kept	-	happiness, bliss; good health, well-being; congratulation, felicitation
hrE	kept	head	hurry, hasten, rush
hrb	kept	-	flight, escape, getaway; desertion; elopement
hwd	kept	-	be a Jew
hwn	kept	-	ease, leisure, convenience, comfort; easiness, facility
hwr	kept	-	be destroyed, crash down, fall down, collapse
hwy	kept	-	drop, fall, tumble, fall down, come down, sink; to topple, tumble down, be upset; to swoop down (predatory bird)
hyA	kept	-	up! come on! let’s go! now then!
hyj	kept	-	be astir or stirred up, be or get excited, agitated; to rise; to awaken, be awakened, spring up (desire)
hyl	kept	-	piled-up sand
hym	kept	-	fall in love; to be in love; to be enthusiastic, ecstatic, frantic, beside o.s.
hyt	no_gloss	-	
hzA	kept	-	scoff, jeer, sneer, laugh, make fun, deride, ridicule, mock
hzl	kept	-	had joking, jesting, fun
hzm	kept	-	put to flight, rout, vanquish, defeat; to put out of action, neutralize
hzz	kept	-	shake; to swing, brandish, wave; to jolt to and fro, jog, rook
j**	kept	-	cut off, clip
j*E	kept	-	stem, trunk.; stump, tree stump; torso
j*w	not_in_hanswehr	-	
jAr	kept	-	low, moo; to supplicate, pray fervently
jEl	kept	-	make; to put, place, lay; to create
jHd	kept	-	negate; to disclaim, disavow, disown, deny; to refuse, reject, repudiate
jHm	not_in_hanswehr	-	
jbb	kept	-	well, cistern; pit
jbh	kept	-	moot, face, confront
jbl	kept	-	mold, form, shape, fashion; to knead; to create
jbn	kept	-	cowardice
jbr	kept	-	set; to restore, bring back to normal; to help back on his feet, help up
jbt	not_in_hanswehr	-	
jby	kept	-	collect, raise, levy
jdd	kept	-	good luck, good fortune
jdl	kept	-	twist tight, tighten, stretch; to braid, plait
jdr	kept	-	wall
jdv	kept	-	grave, tomb
jfA	kept	-	roughness; harshness; sternness
jfn	kept	-	eyelid
jfw	kept	-	be rough, coarse; to treat roughly, harshly; to turn away (. from), shun, avoid, flee
jhd	kept	-	endeavor, strive, labor, take pains, put o.s. out; to over-work, overtax, fatigue, exhaust
jhl	kept	-	be ignorant; not to know; to be irrational, foolish
jhr	kept	-	be brought to light, come out, show, appear
jhz	kept	-	finish off, deliver the coup de grace to
jlb	kept	-	attract; to fetch, get, bring; to import
jld	kept	-	flogging
jll	kept	-	important, significant, momentous, weighty
jls	kept	-	sit down; to sit
jlw	kept	-	clean, polish; to clear
jmE	kept	-	gather; to collect; to unite, combine, bring together (parts into a whole)
jmH	kept	-	he refractory, unruly, recalcitrant; to be defiant; to be capricious, whimsical
jmd	kept	-	freezing; congelation, solidification, coagulation
jml	kept	-	sum up, summarize
jmm	kept	-	abundant, plentiful; much, a great deal of; many, numerous
jnH	kept	-	side
jnb	kept	-	avert, ward off
jnd	kept	-	soldiers; army
jnf	no_gloss	-	
jnn	kept	head	jinn, demons (invisible beings, either harmful or helpful, that interfere with the lives of mortals)
jny	kept	-	demonic; jinni, demon
jrE	kept	-	swallow, gulp, devour; to pour down, toss down
jrH	kept	-	injure, hurt
jrd	kept	-	bare, threadbare, shabby, worn; (com.) inventory; stocktaking
jrf	kept	-	undercut bank or shore; clilf, steep slope, precipice; bluff (along a river or coast)
jrm	kept	-	long, flat-bottomed sarge, lighter (naut.)
jrr	kept	-	draw, pull; to drag, tug, haul: to tow; to trail
jry	kept	-	flow, stream (water); to run; to hurry, rush
jrz	not_in_hanswehr	-	
jsd	kept	-	body
jsm	kept	-	body (also O of an automobile); substance, matter; mass
jss	kept	-	touch, feel, handle; to palpate, examine by touch; to test, sound, probe
jvm	kept	-	alight, sit, perch (bird); to crouch, cower; to fall or lie prone, lie face down
jvv	no_gloss	-	
jvw	kept	-	kneeling pooition
jwE	kept	-	be hungry; to starve
jwb	kept	-	skirt
jwd	kept	-	openhandedness, liberality, generosity
jwf	kept	-	hollow, cavity; depression; interior, inside, center, heart
jwr	kept	-	deviate, stray; to commit an outrage, bear down, wrong, persecute, oppress, tyrannize; to encroach, make inroads
jws	kept	-	peer around, pry around, look around; to search, investigate, explore
jww	kept	-	air; atmosphere (also fig.); sky
jwz	kept	-	pass, come, travel; to pass; to be allowed, permitted, permissible
jyA	not_in_hanswehr	-	
jyb	kept	-	breast, bosom, heart; sine (math.); hole, hollow, cavity, excavation
jyd	kept	-	good, perfect, faultless; outstanding, excellent, first-rate; good (as an examination grade)
jzA	kept	-	requital, repayment; recompense, return; compensation, setoff
jzE	kept	-	be or become anxious, worried, concerned; to be sad, unhappy; to feel regret, pity
jzy	kept	-	requite, recompense, repay; to reward; to punish
k$T	kept	-	take off; to pull off; to erase
k$f	kept	-	pull away, remove, take off, throw open, lift, raise; to reveal, disclose, uncover, expose, bare; to clear up, shed light
k*b	kept	-	lie; to deceive, delude, mislead; to tell a lie, to lie
kAs	kept	-	cup; drinking glass, tumbler; goblet
kEb	kept	-	knot, knob, node (of cane); joint, articulation; ankle, anklebone
kZm	kept	-	conceal or suppress; to be mum, keep silent
kbb	kept	-	prostrate, throw prostrate; to overturn, overthrow, topple, upset, capsize, turn upside down, revert, invert; to pour out, pour away
kbd	kept	-	liver; interior, heart; middle, center
kbkb	kept	-	topple, upset, capsize, overturn, turn upside down, revert, invert; to spill
kbr	kept	-	exceed in age, be older
kbt	kept	-	put down, crush, suppress, repress, stifle, subdue, restrain, curb
kdH	kept	-	exertion, toil, labor, drudgery
kdr	kept	-	be turbid, roily, muddy, roiled (liquid)
kdy	kept	-	give little, skimp, stint
kfA	kept	-	an equivalent
kff	kept	-	border, edge, hem; to desist, refrain, cease, forbear, give up, stop; to renounce, waive, forgo, abstain
kfl	kept	-	feed, support, provide
kfr	kept	-	cover, hide
kft	kept	-	cooking pot
kfy	kept	-	be enough, sufficient, suffice; to meet all requirements; to protect
khf	kept	-	cave, cavern; depression, hollow, cavity
khl	kept	-	middle-aged, man of mature age
khn	kept	-	predict the future, tell the fortune, prophesy
klA	kept	-	both (of)
klH	kept	-	frown, scowl, look gloomy
klb	kept	-	dog
klf	kept	-	become brownish red (face); to become freckled, be covered with freckles; to like, be intent, bent, set. keen, be very attached, be very fond
kll	kept	-	weariness, tiredness, fatigue, exhaustion; dimness, dullness
klm	no_gloss	-	
klw	kept	-	sleepless, awake
kmh	kept	-	blindness (from birth)
kml	kept	-	be or become whole, entire, integral, perfect, complete; to be finished, done, completed, accomplished; to be concluded, come to a close
kmm	kept	-	sleeve
knd	not_in_hanswehr	-	
knn	kept	-	hide; to conceal, cover, cloak; to shelter, ensconce, contain
kns	kept	-	sweeping, cleaning
knz	kept	-	bury; to pile up, heap up, lay up, accumulate, amass, collect, gather, save, hoard
krb	kept	-	worry, sorrow, care, grief; apprehension, concern, anxiety, fear; distress, trouble
krh	kept	-	feel disgust, be disgusted; to detest, loathe, abhor, hate; to dislike
krm	kept	-	vine, grapes, grapevines; vineyard; garden, orchard
krr	kept	-	attack, charge
krs	no_gloss	-	
ksb	kept	-	gain, win, acquire; to earn; to profit, win, gain
ksd	kept	-	find no market, not to move, sell badly (merchandise); to be stagnant, dull, listless (business, market)
ksf	kept	-	darkening, occultation, eclipse; dark, darkness, gloominess
ksl	kept	-	laziness, sluggishness, idleness, inactivity, loafing, indolence, negligence
ksw	kept	-	clothe, dress, garb, attire; to hang, drape, face, line, case, incase; to cover, put, slip
ktb	kept	-	write, pen, write down, put down in writing, note down, inscribe, enter, record, book, register; to compose, draw up, indite, draft
ktm	kept	-	hide; to conceal, secrete, keep secret; to suppress, repress, restrain, check, curb, subdue
kvb	kept	-	nearness, proximity, vicinity
kvr	kept	-	large quantity, abundance, plenty; major portion, greater part
kwb	kept	-	drinking glass, tumbler, (ir.) cup
kwd	kept	-	be on the point, be about, (with imperf.) it wouldn’t have taken much more ..., he (it) all but ..., he (would have) almost ...
kwkb	kept	-	star (also, fig., of screen, stage, etc.); leucoma, white opacity in the cornea of the eye
kwn	kept	-	be; to exist; to happen, occur, take place
kwr	no_gloss	-	
kwy	kept	-	burn; to sear; to cauterize, treat with a cautery
kyd	kept	-	deceive, dupe, outwit; to harm by artful machinations, lay snares, plot s.o.’s downfall, conspire
kyf	no_gloss	-	
kyl	kept	-	measure; to weigh; to compare by measuring, measure s.th. by the standard of
kyn	kept	-	humble o.s., abase o.s., eat humble pie, submit, resign o.s.
l**	kept	-	be sweet, delicious, delightful, pleasant, gratify the senses
lAlA	kept	-	glitter, flash; light, glow, gleam; perfect joy, unruffled gaiety
lEb	kept	-	a kind of equestrian contest, joust, tournament
lEn	kept	-	curse, damn, execrate, utter imprecations
lHd	kept	-	dig a grave; to bury, inter; to deviate from the right course, digress from the straight path
lHf	kept	-	foot of a mountain
lHm	kept	-	flesh; meat
lHn	kept	-	air, tune, melody; grammatical mistake, solecism, barbarism
lHq	kept	-	catch up, overtake, to reach; to catch, make, to touch
lHy	kept	-	jawbone
lTf	kept	-	kindness, benevolence, friendliness; gentleness, mildness; civility, courteousness, politeness
lZy	kept	-	burn brightly, flare, flame, blaze, be ablaze; to burn with rage
lbb	kept	-	upper part of the chest; throat of an animal, spot where its throat is slit in slaughtering; breast collar (of a horse’s harness)
lbd	kept	-	felt
lbn	kept	-	unburnt brick(s), adobes
lbs	kept	-	put on, wear; to dress, clothe o.s. garb o.s.
lbv	kept	-	hesitate, tarry, linger; to abide, remain, stay; (with imperf.) to persist in an activity, keep doing s.th.
ldd	kept	-	vehement quarrel, violent dispute
ldn	kept	-	soft, gentle; pliant, pliable, flexible, supple, resilient, elastic; plastic
lfH	kept	-	burn, scorch, sear
lfZ	kept	-	emit; to spit out; to eject
lff	kept	-	wrap up, roll up, fold up; to wind, coil, spool, reel; to wind, twist, wrap, fold
lft	no_gloss	-	
lfw	no_gloss	-	
lgb	not_in_hanswehr	-	
lgw	kept	-	foolish talk; nonsense; null, nugatory, ineffectual
lhb	kept	-	flame, blaze, flare
lhm	no_gloss	-	
lhv	kept	-	loll one’s tongue with thirst or fatigue; to pant, gasp, be out of breath; to breathe heavily
lhw	kept	-	amuse o.s., distract o.s., divert o.s., pass or kill time; to play, toy, dally, trifle; to fritter away, trifle away, prattle away
ljA	kept	-	take refuge, resort, have recourse, fall back; to seek information, refer
ljj	kept	-	be stubborn, obstinate, unyielding, relentless; to persist, persevere; to insist
lmH	kept	-	quick look, glance; moment, instant
lmm	kept	-	slight mental derangement
lms	kept	-	touch, handle, feel with the hand, finger, pass one’s hand; to seek, look, search, ask; to perceive, notice, become aware
lmz	kept	-	give a wink; to speak ill, carp, find fault, criticize, blame, censure, backbite, slander, defame
lqH	kept	-	impregnation, fecundation, pollination
lqT	kept	-	gather, collect, pick up from the ground, glean
lqb	kept	-	agnomen; nickname; title, honorific
lqf	kept	-	seize quickly, grab, snatch; to catch; to snatch up, take over
lqm	kept	-	clog up, obstruct, block
lqy	kept	-	encounter, meet; to meet; to come across s.o. or s.th., light upon s.o. or s.th.
lsn	kept	-	eloquence
lw*	kept	-	take refuge, seek shelter, have recourse, resort; to keep close, observe religiously
