root	status	buckets	gloss
Amd	kept	-	end, terminus, extremity; period, stretch or span of time, time; distance
Aml	kept	-	hope, expectation
Amm	kept	-	or? (introducing the second member of an alternative question)
Amn	kept	-	be faithful, reliable, trustworthy
Amr	kept	-	order, command, bid, instruct, commission, charge, entrust
Amt	kept	-	crookedness, curvedness, curvation, curvature; weakness
Amw	not_in_hanswehr	-	
Anf	kept	-	preceding, above
Anm	not_in_hanswehr	-	
Ans	kept	-	sociability; intimacy, familiarity, friendly atmosphere
Anv	kept	-	be or become feminine, womanly, womanish, effeminate
Any	kept	-	mature, become ripe; to draw near, approach, come (esp. time)
ArD	kept	-	termite; woodworm
Arb	kept	-	wish, desire, need; purpose. aim, goal, end
Ark	not_in_hanswehr	-	
Asf	kept	-	regret, feel sorry, be sad
Asn	kept	-	older, farther advanced in years
Asr	kept	-	strap, thong; capture; captivity
Ass	kept	-	myrtle
Asw	kept	-	nurse, treat; to make peace
Aty	kept	-	arrive
Avl	kept	-	tamarisk (bot.)
Avm	kept	-	sin, offense, misdeed, crime
Avr	kept	-	transmit, pass along, report, relate
Avv	kept	-	abundant, luxuriant, profusely growing (hair, plants)
Awb	kept	-	return
Awd	kept	-	bend, flex, curve, crook; to burden, oppress, weigh down
Awh	kept	head	oh!
Awl	kept	-	first; foremost, most important, principal, chief, main; first part, beginning
Awy	kept	-	seek refuge, seek shelter; to go; to betake o.s., repair
Ax*	kept	-	take: to take along: to get, receive, obtain; to take up, seize; to grab, take hold of: to perceive, notice
Axr	kept	-	last, ultimate, utmost, extreme; end, close, conclusion; foot, bottom (of a paper)
Axw	no_gloss	-	
Ayd	no_gloss	-	
Aym	kept	-	widower, widow
Ayy	kept	-	sign, token, mark; miracle; wonder, marvel, prodigy
Azf	kept	-	come, approach, draw near (a time)
Azr	kept	-	surround
Azz	kept	-	simmer; to hum, buzz; to whiz, hiss
DAn	kept	-	mutton (meat)
DEf	kept	-	be or become weak, weakly, feeble, frail, delicate, debilitated, impotent, languid, flabby, or slack
DHk	kept	-	laugh; to jeer, scoff, jibe, deride, ridicule, mock, scorn
DHw	not_in_hanswehr	-	
DbH	kept	-	blacken; to snort (horse)
Ddd	kept	-	an opposite, a contrary, contrast; word with two opposite meanings; adversary, opponent
DfdE	kept	-	frog
Dgn	kept	-	rancor, spite, grudge, malice, malevolence, ill will, (secret) hatred
Dgv	kept	-	bunch, bouquet; mixture, muddle, jumble, maze
DhA	not_in_hanswehr	-	
DjE	kept	-	late riser, slugabed, sluggard, lazybones; lazy, sluggish, inert
Dll	kept	-	lose one’s way, go astray; to stray; to err
Dmm	kept	-	bring together, join, draw together, contract; to add (up), sum up; to gather, collect, reap, harvest
Dmr	kept	-	emaciation; leanness, skinniness, thinness, slenderness, slimness
Dnk	kept	-	be straitened, cramped, confined (circumstances); to be weak, be exhausted
Dnn	kept	-	in order to spare s.th., in due consideration of
DrE	kept	-	be humble, submissive, humiliate o.s., abase o.s.; to implore, beg, beseech, entreat
Drb	kept	-	boat, strike, hit; to shoot, fire, shell, bombard; to play
Drr	kept	-	harm, damage, detriment; loss, disadvantage
DwA	not_in_hanswehr	-	
DyE	kept	-	get lost, be lost, to lose itself, disappear; to perish
Dyf	kept	-	guest; visitor
Dyq	kept	-	narrowness; tightness, closeness; confinement, restriction, limitation, constraint
Dyr	kept	-	harm, damage, injury, prejudice; wrong, iniquity, offense
Dyz	not_in_hanswehr	-	
E$r	kept	-	one tenth, tenth part; tithe
E$w	kept	-	be dim-sighted; to be night-blind
E*b	kept	-	sweet; pleasant, agreeable
E*r	kept	-	excuse, absolve from guilt, forgive
EDD	kept	-	grab with the teeth, bite; to bite into s.th.; to hold on, cling, cleave
EDd	kept	-	help, aid, assistance, support, backing; helper, aide, assistant, supporter, backer
EDl	kept	-	be or become muscular
EDw	kept	-	member, limb, organ (of the body); member (of an organization)
ESb	kept	-	nerve; sinew
ESf	kept	-	storming, blowing; stalk and leaves of grain
ESm	kept	-	hold back, restrain, curb, check, prevent, hinder; to preserve, guard, safeguard, protect, defend; to immunize, render immune
ESr	kept	-	press (out), squeeze (out); to wring; to compress
ESw	kept	-	staff, rod; wand; stick
ESy	kept	-	disobey, resist, oppose, defy, refuse, or renounce, one’s obedience, rebel, revolt
ETf	kept	-	bond(ing), inclination, curving, curvature; corner; sympathy, affection, attachment, liking
ETl	kept	-	he destitute, he devoid, lack; to be idle, not to work, rest; to he without work, he unemployed
ETw	no_gloss	-	
EZm	kept	-	bone
EbA	kept	-	with negation
Ebd	kept	-	serve, worship, adore, venerate, idolize, deify
Ebqr	kept	-	legendary place inhabited by jinn; fairyland, wonderland
Ebr	kept	-	cross, traverse; to ford, wade; to swim
Ebs	kept	-	frown, knit one’s brows; to glower, lower, scowl, look sternly
Ebv	kept	-	fool around, indulge in horseplay, commit a folly; to play, joke, jest; to toy, play a frivolous game, mock
Edd	kept	-	number, numeral; figure, digit, cipher; quantity
Edl	kept	-	act justly, equitably, with fairness
Eds	kept	-	lentil(s)
Edw	kept	-	run, speed, gallop, dash, race; to pass, go past s.o. or s.th.; to give up, abandon, leave
Eff	kept	-	refrain, abstain; to be abstinent, continent, virtuous, chaste, modest, decent, pure
Efr	kept	-	dust
Efw	kept	-	be or become effaced, obliterated, wiped out, eliminated
Ehd	kept	-	know, be acquainted, familiar; to observe closely, heed, adhere; to attend, look after s.th.
Ehn	kept	-	wool
Ejb	kept	-	wonder, marvel, be astonished, be amazed
Ejf	not_in_hanswehr	-	
Ejl	kept	-	hurry, hasten, speed, rush, be in a hurry; to rush, hasten, hurry, come quickly
Ejm	kept	-	barbarians, non-Arabs; Persians
Ejz	kept	-	weakness, incapacity, disability, failure, impotence; deficit
Ekf	kept	-	adhere, cling, stick, keep; to give o.s. over, apply o.s., devote o.s., be addicted, indulge, be obsessed, be bent, be intent
Elm	kept	-	know, have knowledge, be cognizant, be aware, be informed, be familiar, be acquainted; to perceive, discern, find out, learn, come to know
Eln	kept	-	be or become known, manifest, evident
Elq	kept	-	precious thing, object of value
Elw	kept	-	be high, elevated, rise high, loom, tower up; to rise, ascend; to ring out (voice)
Emd	kept	-	intention, intent, design, purpose; premeditation, willfulness (jur.)
Emh	kept	-	wander about, stray, rove; to stray
Eml	kept	-	do, act, operate, be active, work; to make, produce, manufacture, fabricate, perform, carry out, execute; to act
Emm	kept	-	father’s brother, paternal uncle
Emq	kept	-	depth, profoundness, profundity; bottom
Emr	kept	-	live long, be longevous
Emy	kept	-	be or become blind, lose one’s eyesight; to be blind; to be obscure
Enb	kept	-	grape(s)
End	kept	-	swerve, deviate, diverge, depart; to resist stubbornly; to be headstrong, obstinate, stubborn
Enkb	not_in_hanswehr	-	
Enq	kept	-	neck, nape
Ent	kept	-	fall on evil days, come to grief, meet with hardship, be in distress, suffer adversity; to commit a sin, specif., commit fornication
Enw	kept	-	be humble, submissive, subservient, servile, be obedient, yield, submit, obey
Eqb	kept	-	heal; last part of s.th., end; that which follows subsequently or ensues, subsequence (with foll. genit.)
Eqd	kept	-	knit, knot, tie to fasten with a knot; to put together, join, fold, lock; to contract
Eql	kept	-	hobble with the ‘iqāl; to intern, confine, detain, arrest, put under arrest; to throw in wrestling
Eqm	kept	-	barrenness, sterility
Eqr	kept	-	wound
Er$	kept	-	throne; tribe (magr.)
ErD	kept	-	be or become wide, broad, to widen, broaden
Erb	kept	-	Arabs; true Arabs, Arabs of the desert, Bedouins
Erf	kept	-	know; to recognize, perceive; to be cognizant, be aware, be acquainted, to discover, experience, find out
Erj	kept	-	ascend, mount, rise
Erjn	not_in_hanswehr	-	
Erm	kept	-	vicious; strong, violent, vehement, powerful, terrific; dam, dike
Err	kept	-	scabies, mange
Erw	no_gloss	-	
Ery	kept	-	be naked, nude; to be free, be bare
EsEs	kept	-	darken, grow dark
Esl	kept	-	honey
Esr	kept	-	difficulty, trying or distressful situation, predicament, plight, fix, pinch, press, straits, straightened circumstances, distress, poverty
Esy	kept	frag	and subjunctive: it might be, it could be that ..., possibly ..., maybe ..., perhaps ...
Etb	kept	-	blame, censure, reprove, scold
Etd	kept	-	be ready, be prepared
Etl	kept	-	carry
Etq	kept	-	age, vintage (esp. of wine); liberty (as opposed to slavery); emancipation, freeing, manumission (of a slave)
Etw	kept	-	be insolent, refractory, recalcitrant, unruly; to be violent, fierce, strong, wild, furious, raging (e.g., storms)
Evr	kept	-	stumble, trip
Evw	kept	-	act wickedly, do harm, cause mischief
Ew*	kept	-	seek the protection, take refuge
Ewd	kept	-	return, come back; to flow back; to go back. be traceable, be attributable
